district,total_votes,cvap_est,vap_turnout_rate
CA 35,233555,473535,49.32159185699051
CA 36,357987,543910,65.81732271883216
CA 37,204814,434235,47.16662636590786
CA 38,275928,507860,54.33150868349546
CA 39,229660,480885,47.75777992659368
CA 40,383635,535120,71.69139632232022
CA 41,354445,553355,64.05381716980962
CA 42,233563,453875,51.459763150647206
CA 43,213232,428885,49.717756508154864
CA 44,230852,464340,49.71615626480596
CA 45,315875,504650,62.59288615872387
CA 46,211292,437890,48.25230080613853
CA 47,353275,530185,66.63240189745089
CA 48,360290,536565,67.14750309841305
CA 49,378347,541815,69.82955436818841
CA 50,360695,548980,65.70275784181572
CA 51,327584,545710,60.028953106961566
CA 52,259718,487895,53.232355322354195
CO 01,339204,539250,62.90292072322671
CO 02,405627,561425,72.24954357216012
CO 03,384098,553480,69.39690684396906
CO 04,428462,543340,78.85706923841425
CO 05,345896,537900,64.30488938464399
CO 06,334860,500920,66.8489978439671
CO 07,410961,571085,71.9614418168924
CO 08,324191,496025,65.35779446600473
CT 01,323714,531955,60.853643635269904
CT 02,376040,560350,67.10805746408495
CT 03,328797,539655,60.9272590821914
CT 04,323584,484910,66.73073353818233
CT 05,337526,524715,64.32558627064215
DE 01,497436,751520,66.1906536086864
FL 01,415088,591510,70.17429967371642
FL 02,402280,608690,66.08947083080056
FL 03,391457,604980,64.7057753975338
FL 04,388276,584575,66.42021981781636
FL 05,424041,582240,72.82924567188788
FL 06,427464,630810,67.76430303894992
FL 07,413854,595110,69.54243753255702
FL 08,450448,625940,71.96344697574848
FL 09,316861,519975,60.937737391220736
FL 10,290915,551580,52.74212262953697
FL 11,446003,589115,75.7072897481816
FL 12,431436,622000,69.36270096463024
FL 13,411566,618010,66.59536253458683
FL 14,345066,566240,60.93988414806443
FL 15,347695,569990,61.00019298584186
FL 16,416141,585650,71.05626227268846
FL 17,455913,643240,70.8775884584292
FL 18,344807,578425,59.611358430219994
FL 19,415746,611525,67.98511916928989
FL 20,0,497930,0.0
FL 21,448747,602355,74.4987590374447
FL 22,366856,539590,67.9879167516077
FL 23,374317,548920,68.19153975078336
FL 24,285566,476645,59.91167430687408
FL 25,343150,510400,67.2315830721003
FL 26,306271,461460,66.36999956659298
FL 27,329867,467860,70.50549309622536
FL 28,325337,488440,66.60736221439686
GA 01,355857,577765,61.59199674608189
GA 02,312501,564390,55.36969117099878
GA 03,411785,571995,71.99101390746424
GA 04,303361,527960,57.45908780968255
GA 05,343691,582240,59.029094531464686
GA 06,370936,520590,71.25300140225514
GA 07,425442,466580,91.1830768571306
GA 08,335981,568015,59.15002244659032
GA 09,392816,551435,71.23523171361992
GA 10,406716,583180,69.74107479680373
GA 11,400913,552115,72.61403874192877
GA 12,341266,575755,59.272780957177964
GA 13,357632,535390,66.79840863669475
GA 14,378205,559785,67.56254633475352
HI 01,228610,524900,43.55305772528101
HI 02,241722,525655,45.98491405960183
ID 01,449705,705735,63.72151019858728
ID 02,376348,670515,56.12819996569801
IL 01,316462,557665,56.74768902477294
IL 02,289781,539300,53.732801780085296
IL 03,259812,475225,54.67136619496028
IL 04,195666,437410,44.73285933106239
IL 05,363956,551530,65.99024531757112
IL 06,362763,544355,66.6408869212187
IL 07,267006,539930,49.451965995592026
IL 08,303073,498195,60.83421150352773
IL 09,338828,525940,64.42331824922995
IL 10,327383,510105,64.17953166504935
IL 11,359455,519450,69.19915295023583
IL 12,367629,577430,63.66641844033043
IL 13,329256,570520,57.71156138259833
