state_name,state_code,county_name,population,total_votes,turnout,college_educated,households_total,households_mean_income,households_median_income,families_total,families_mean_income,families_median_income,poverty_total,poverty_percent,per_point_diff,college_educated_percent
Arkansas,AR,Craighead County,113993.0,37242.0,0.3267042713149053,21600.0,43357.0,82653.0,57615.0,28907.0,98979.0,76364.0,20670.0,18.1326923583027,37.44,18.948531927399053
Arkansas,AR,Crawford County,61891.0,23834.0,0.38509637911812705,8332.0,22994.0,75580.0,60362.0,16738.0,87119.0,72308.0,9998.0,16.15420658900325,58.16,13.462377405438595
Arkansas,AR,Crittenden County,47139.0,14681.0,0.3114406330214896,5486.0,18338.0,72770.0,54271.0,11832.0,84684.0,63203.0,9684.0,20.543499013555653,-2.28,11.637921890578925
Arkansas,AR,Cross County,16420.0,6534.0,0.3979293544457978,1725.0,6524.0,69861.0,47012.0,4710.0,81176.0,61695.0,3314.0,20.18270401948843,47.61,10.505481120584653
Arkansas,AR,Dallas County,6185.0,2324.0,0.3757477768795473,543.0,2425.0,60225.0,44694.0,1540.0,78707.0,70625.0,675.0,10.913500404203718,29.43,8.77930476960388
Arkansas,AR,Desha County,10479.0,3505.0,0.33447848077106596,1054.0,4750.0,52920.0,36064.0,3180.0,63736.0,44738.0,3164.0,30.193720774883097,4.76,10.058211661418074
Arkansas,AR,Drew County,16945.0,6365.0,0.3756270286220124,2768.0,7004.0,63455.0,41071.0,4059.0,80929.0,61418.0,3720.0,21.953378577751547,33.83,16.335202124520507
Arkansas,AR,Faulkner County,129951.0,54465.0,0.4191195142784588,29061.0,48866.0,85913.0,65071.0,32063.0,104092.0,81392.0,18099.0,13.927557310063024,32.32,22.363044532169816
Arkansas,AR,Franklin County,17468.0,6971.0,0.3990725898786352,1700.0,6878.0,65796.0,51919.0,4495.0,80550.0,63397.0,3197.0,18.30203801236547,62.4,9.732081520494619
Arkansas,AR,Fulton County,12421.0,5043.0,0.4060059576523629,1440.0,4808.0,54372.0,38941.0,2977.0,64468.0,48635.0,1782.0,14.34667096047017,62.15,11.5932694630062
Arkansas,AR,Garland County,99784.0,42327.0,0.424186242283332,19650.0,43762.0,74518.0,55409.0,27405.0,89473.0,70043.0,16237.0,16.27214783933296,36.25,19.69253587749539
Arkansas,AR,Grant County,18383.0,8078.0,0.4394277321438285,2793.0,6955.0,91164.0,72512.0,4711.0,112413.0,93335.0,2205.0,11.994777783822009,68.87,15.193385192841212
Arkansas,AR,Greene County,46743.0,15820.0,0.33844639839120294,5540.0,17926.0,69475.0,56793.0,12003.0,80958.0,66830.0,7657.0,16.381062405066,61.2,11.852042016986502
Arkansas,AR,Hempstead County,19343.0,6089.0,0.31479088042185804,2077.0,7454.0,66635.0,47654.0,4690.0,85084.0,64925.0,3702.0,19.138706508814558,39.69,10.73773458098537
Arkansas,AR,Hot Spring County,33258.0,12283.0,0.3693246737627037,3977.0,12101.0,67204.0,52644.0,8372.0,79069.0,64840.0,5264.0,15.827770761921943,52.17,11.958025136809189
Arkansas,AR,Howard County,12533.0,4473.0,0.35689778983483605,1451.0,5169.0,62736.0,44492.0,3519.0,75812.0,59234.0,2477.0,19.763823505944305,46.68,11.577435570094949
Arkansas,AR,Independence County,38320.0,14011.0,0.36563152400835075,4401.0,14515.0,77283.0,56009.0,10009.0,90350.0,65797.0,7287.0,19.016179540709814,59.48,11.484864300626304
Arkansas,AR,Izard County,14169.0,5925.0,0.41816641964852846,2017.0,5027.0,61320.0,47728.0,2987.0,76199.0,59230.0,2692.0,18.999223657279977,65.91,14.235302420777755
Arkansas,AR,Jackson County,16784.0,4775.0,0.28449714013346045,1643.0,6094.0,60764.0,41215.0,3768.0,75419.0,55253.0,3044.0,18.13632030505243,48.71,9.789084842707341
Arkansas,AR,Jefferson County,63661.0,21608.0,0.339422880570522,9627.0,24334.0,66118.0,48552.0,15126.0,76239.0,61092.0,12300.0,19.321091406041376,-20.06,15.122288371216285
Arkansas,AR,Johnson County,26129.0,9059.0,0.3467028971640706,3281.0,10047.0,61307.0,44808.0,6679.0,74987.0,59943.0,4874.0,18.653603276053428,51.43,12.556929082628496
Arkansas,AR,Lafayette County,6095.0,2325.0,0.38146021328958163,483.0,2564.0,51942.0,37237.0,1595.0,65852.0,59776.0,1658.0,27.202625102543067,38.32,7.9245283018867925
Arkansas,AR,Lawrence County,16318.0,5692.0,0.3488172570167913,1635.0,6437.0,63906.0,44164.0,4311.0,76404.0,61609.0,2854.0,17.489888466723862,64.0,10.01961024635372
Arkansas,AR,Lee County,8201.0,2520.0,0.3072796000487745,415.0,2641.0,60647.0,36860.0,1632.0,72510.0,46875.0,1926.0,23.484940860870626,-3.53,5.060358492866723
Arkansas,AR,Lincoln County,12898.0,3372.0,0.26143588153202046,1178.0,3518.0,67605.0,51667.0,2446.0,78508.0,61970.0,1512.0,11.722747712823693,50.09,9.133198945572957
Arkansas,AR,Little River County,11805.0,4899.0,0.4149936467598475,1513.0,4790.0,69554.0,52241.0,3152.0,84671.0,73583.0,1927.0,16.323591698432868,54.3,12.816603134265142
Arkansas,AR,Logan County,21400.0,8205.0,0.383411214953271,2414.0,8484.0,72784.0,54237.0,5687.0,80984.0,70376.0,3009.0,14.060747663551401,62.19,11.280373831775702
Arkansas,AR,Lonoke County,75944.0,30620.0,0.4031918255556726,10928.0,27817.0,88961.0,71449.0,19570.0,102387.0,85661.0,8232.0,10.83956599599705,53.67,14.389550194880437
Arkansas,AR,Madison County,17775.0,7501.0,0.4219971870604782,1557.0,6381.0,73885.0,53888.0,4814.0,78096.0,61638.0,2529.0,14.227848101265822,58.58,8.759493670886076
Arkansas,AR,Marion County,17514.0,7851.0,0.44826995546420006,2075.0,7296.0,61967.0,46953.0,4873.0,72282.0,58958.0,3008.0,17.174831563320772,60.23,11.847664725362566
Arkansas,AR,Miller County,42415.0,15803.0,0.3725804550277025,4882.0,16311.0,68756.0,49983.0,10236.0,83151.0,61140.0,8694.0,20.49746551927384,51.09,11.510078981492397
Arkansas,AR,Mississippi County,38663.0,10717.0,0.27719007836950055,3833.0,15381.0,76088.0,53428.0,10052.0,89912.0,62877.0,8150.0,21.079585133072964,31.62,9.91387114295321
Arkansas,AR,Monroe County,6512.0,2433.0,0.37361793611793614,748.0,2819.0,57347.0,43955.0,1509.0,76198.0,68668.0,1452.0,22.2972972972973,15.74,11.486486486486488
Arkansas,AR,Montgomery County,8620.0,3707.0,0.43004640371229697,1116.0,3752.0,65505.0,49015.0,2690.0,76772.0,59417.0,1762.0,20.440835266821345,63.18,12.94663573085847
Arkansas,AR,Nevada County,8120.0,2907.0,0.35800492610837437,660.0,3402.0,52418.0,41761.0,2212.0,57895.0,49454.0,2298.0,28.30049261083744,39.66,8.12807881773399
Arkansas,AR,Newton County,7071.0,3770.0,0.5331636260783482,762.0,3049.0,64637.0,47395.0,2024.0,74492.0,65455.0,945.0,13.364446330080613,64.16,10.776410691557064
Arkansas,AR,Ouachita County,21793.0,8626.0,0.3958151700087184,2458.0,8590.0,63323.0,49838.0,5522.0,77079.0,63918.0,3913.0,17.955306749873813,19.06,11.278851007204148
