state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff,state_code
California,6095,Solano County,70345,113997,189834,-43652,37.06,60.05,-22.99,CA
California,6097,Sonoma County,63426,179600,251426,-116174,25.23,71.43,-46.21,CA
California,6099,Stanislaus County,106986,85347,197472,21639,54.18,43.22,10.96,CA
California,6101,Sutter County,25372,13016,39336,12356,64.5,33.09,31.41,CA
California,6103,Tehama County,18503,7415,26532,11088,69.74,27.95,41.79,CA
California,6105,Trinity County,2979,2449,5645,530,52.77,43.38,9.39,CA
California,6107,Tulare County,81854,53221,138271,28633,59.2,38.49,20.71,CA
California,6109,Tuolumne County,17210,10909,28810,6301,59.74,37.87,21.87,CA
California,6111,Ventura County,158901,217424,387595,-58523,41.0,56.1,-15.1,CA
California,6113,Yolo County,27844,61405,92589,-33561,30.07,66.32,-36.25,CA
California,6115,Yuba County,18491,10725,30070,7766,61.49,35.67,25.83,CA
Colorado,8001,Adams County,103024,124056,233336,-21032,44.15,53.17,-9.01,CO
Colorado,8003,Alamosa County,4057,3244,7519,813,53.96,43.14,10.81,CO
Colorado,8005,Arapahoe County,125311,190725,325451,-65414,38.5,58.6,-20.1,CO
Colorado,8007,Archuleta County,5218,3904,9355,1314,55.78,41.73,14.05,CO
Colorado,8009,Baca County,1686,275,2004,1411,84.13,13.72,70.41,CO
Colorado,8011,Bent County,1496,645,2189,851,68.34,29.47,38.88,CO
Colorado,8013,Boulder County,40758,150149,196150,-109391,20.78,76.55,-55.77,CO
Colorado,8014,Broomfield County,16071,29426,46817,-13355,34.33,62.85,-28.53,CO
Colorado,8015,Chaffee County,6034,7992,14416,-1958,41.86,55.44,-13.58,CO
Colorado,8017,Cheyenne County,930,108,1055,822,88.15,10.24,77.91,CO
Colorado,8019,Clear Creek County,2452,3464,6101,-1012,40.19,56.78,-16.59,CO
Colorado,8021,Conejos County,2358,1627,4104,731,57.46,39.64,17.81,CO
Colorado,8023,Costilla County,850,1155,2080,-305,40.87,55.53,-14.66,CO
Colorado,8025,Crowley County,1231,422,1706,809,72.16,24.74,47.42,CO
Colorado,8027,Custer County,2583,1188,3867,1395,66.8,30.72,36.07,CO
Colorado,8029,Delta County,12948,6030,19476,6918,66.48,30.96,35.52,CO
Colorado,8031,Denver County,74765,278634,363076,-203869,20.59,76.74,-56.15,CO
Colorado,8033,Dolores County,1076,325,1419,751,75.83,22.9,52.92,CO
Colorado,8035,Douglas County,127451,110408,243758,17043,52.29,45.29,6.99,CO
Colorado,8037,Eagle County,10148,16943,27798,-6795,36.51,60.95,-24.44,CO
Colorado,8039,Elbert County,15209,4768,20417,10441,74.49,23.35,51.14,CO
Colorado,8041,El Paso County,203933,166597,380813,37336,53.55,43.75,9.8,CO
Colorado,8043,Fremont County,17313,7526,25467,9787,67.98,29.55,38.43,CO
Colorado,8045,Garfield County,14493,15128,30372,-635,47.72,49.81,-2.09,CO
Colorado,8047,Gilpin County,1729,2254,4129,-525,41.87,54.59,-12.71,CO
Colorado,8049,Grand County,4822,4743,9883,79,48.79,47.99,0.8,CO
Colorado,8051,Gunnison County,3689,6887,10939,-3198,33.72,62.96,-29.23,CO
Colorado,8053,Hinsdale County,332,257,606,75,54.79,42.41,12.38,CO
Colorado,8055,Huerfano County,2346,1965,4438,381,52.86,44.28,8.58,CO
Colorado,8057,Jackson County,634,173,834,461,76.02,20.74,55.28,CO
Colorado,8059,Jefferson County,140505,210875,361504,-70370,38.87,58.33,-19.47,CO
Colorado,8061,Kiowa County,744,102,863,642,86.21,11.82,74.39,CO
Colorado,8063,Kit Carson County,3083,556,3698,2527,83.37,15.04,68.33,CO
Colorado,8065,Lake County,1557,2199,3911,-642,39.81,56.23,-16.42,CO
Colorado,8067,La Plata County,14024,20677,35681,-6653,39.3,57.95,-18.65,CO
Colorado,8069,Larimer County,89680,129376,225482,-39696,39.77,57.38,-17.6,CO
Colorado,8071,Las Animas County,4328,3276,7792,1052,55.54,42.04,13.5,CO
Colorado,8073,Lincoln County,2090,432,2571,1658,81.29,16.8,64.49,CO
Colorado,8075,Logan County,7855,2098,10162,5757,77.3,20.65,56.65,CO
Colorado,8077,Mesa County,55839,33573,91600,22266,60.96,36.65,24.31,CO
Colorado,8079,Mineral County,417,317,753,100,55.38,42.1,13.28,CO
Colorado,8081,Moffat County,5358,1167,6671,4191,80.32,17.49,62.82,CO
Colorado,8083,Montezuma County,8972,5793,15136,3179,59.28,38.27,21.0,CO
Colorado,8085,Montrose County,16704,8354,25617,8350,65.21,32.61,32.6,CO
Colorado,8087,Morgan County,9830,3291,13458,6539,73.04,24.45,48.59,CO
Colorado,8089,Otero County,5520,3164,8925,2356,61.85,35.45,26.4,CO
Colorado,8091,Ouray County,1573,2442,4098,-869,38.38,59.59,-21.21,CO
Colorado,8093,Park County,6828,4841,12044,1987,56.69,40.19,16.5,CO
Colorado,8095,Phillips County,1888,412,2354,1476,80.2,17.5,62.7,CO
Colorado,8097,Pitkin County,2992,7932,11167,-4940,26.79,71.03,-44.24,CO
Colorado,8099,Prowers County,3833,1227,5144,2606,74.51,23.85,50.66,CO
Colorado,8101,Pueblo County,43688,39328,85107,4360,51.33,46.21,5.12,CO
Colorado,8103,Rio Blanco County,2988,637,3690,2351,80.98,17.26,63.71,CO
Colorado,8105,Rio Grande County,3743,2306,6194,1437,60.43,37.23,23.2,CO
Colorado,8107,Routt County,5676,10208,16335,-4532,34.75,62.49,-27.74,CO
Colorado,8109,Saguache County,1577,1704,3400,-127,46.38,50.12,-3.74,CO
Colorado,8111,San Juan County,188,376,588,-188,31.97,63.95,-31.97,CO
Colorado,8113,San Miguel County,1154,3529,4804,-2375,24.02,73.46,-49.44,CO
Colorado,8115,Sedgwick County,1048,283,1358,765,77.17,20.84,56.33,CO
Colorado,8117,Summit County,5244,11762,17542,-6518,29.89,67.05,-37.16,CO
Colorado,8119,Teller County,10856,5065,16326,5791,66.5,31.02,35.47,CO
Colorado,8121,Washington County,2436,329,2806,2107,86.81,11.72,75.09,CO
Colorado,8123,Weld County,106469,68752,179854,37717,59.2,38.23,20.97,CO
Colorado,8125,Yuma County,3807,758,4663,3049,81.64,16.26,65.39,CO
Connecticut,9110,Capitol Planning Region,181038,285105,474268,-104067,38.17,60.11,-21.94,CT
Connecticut,9120,Greater Bridgeport Planning Region,51519,83461,137015,-31942,37.6,60.91,-23.31,CT
Connecticut,9130,Lower Connecticut River Valley Planning Region,44318,58360,104480,-14042,42.42,55.86,-13.44,CT
Connecticut,9140,Naugatuck Valley Planning Region,115290,99237,217520,16053,53.0,45.62,7.38,CT
Connecticut,9150,Northeastern Connecticut Planning Region,29028,21165,50962,7863,56.96,41.53,15.43,CT
Connecticut,9160,Northwest Hills Planning Region,31944,31137,64076,807,49.85,48.59,1.26,CT
Connecticut,9170,South Central Connecticut Planning Region,103087,156248,264854,-53161,38.92,58.99,-20.07,CT
Connecticut,9180,Southeastern Connecticut Planning Region,58392,76146,136954,-17754,42.64,55.6,-12.96,CT
Connecticut,9190,Western Connecticut Planning Region,122302,181194,308300,-58892,39.67,58.77,-19.1,CT
Delaware,10001,Kent County,42458,44222,88141,-1764,48.17,50.17,-2.0,DE
Delaware,10003,New Castle County,90868,180700,275917,-89832,32.93,65.49,-32.56,DE
Delaware,10005,Sussex County,81025,64836,147639,16189,54.88,43.92,10.97,DE
District of Columbia,11001,Ward 1,2056,36882,40463,-34826,5.08,91.15,-86.07,DC
