district,d_total,r_total,other_total,total_votes,d_percent,r_percent,other_percent,margin
MT 01,137408.0,174602.0,10050.0,322060.0,42.67,54.21,3.12,11.5
MT 02,94498.0,177477.0,8928.0,280903.0,33.64,63.18,3.18,29.5
NC 01,182925.0,194707.0,3691.0,381323.0,47.97,51.06,0.97,3.1
NC 02,271390.0,132361.0,6934.0,410686.0,66.08,32.23,1.69,-33.9
NC 03,147421.0,230873.0,4387.0,382682.0,38.52,60.33,1.15,21.8
NC 04,312677.0,115463.0,8287.0,436427.0,71.64,26.46,1.9,-45.2
NC 05,165401.0,237796.0,4728.0,407925.0,40.55,58.29,1.16,17.7
NC 06,159247.0,226215.0,5567.0,391029.0,40.73,57.85,1.42,17.1
NC 07,188974.0,250249.0,5219.0,444443.0,42.52,56.31,1.17,13.8
NC 08,162725.0,241962.0,4984.0,409671.0,39.72,59.06,1.22,19.3
NC 09,158660.0,219159.0,4791.0,382611.0,41.47,57.28,1.25,15.8
NC 10,168731.0,242339.0,5460.0,416530.0,40.51,58.18,1.31,17.7
NC 11,196319.0,238089.0,6793.0,441201.0,44.5,53.96,1.54,9.5
NC 12,254839.0,91750.0,6398.0,352986.0,72.2,25.99,1.81,-46.2
NC 13,175108.0,245078.0,5498.0,425684.0,41.14,57.57,1.29,16.4
NC 14,170952.0,232367.0,4673.0,407991.0,41.9,56.95,1.15,15.1
ND 01,112327.0,246505.0,6227.0,365059.0,30.77,67.52,1.71,36.8
NE 01,136153.0,177666.0,4485.0,318304.0,42.77,55.82,1.41,13.0
NE 02,163541.0,148905.0,4244.0,316690.0,51.64,47.02,1.34,-4.6
NE 03,70301.0,238245.0,3619.0,312165.0,22.52,76.32,1.16,53.8
NH 01,208186.0,199942.0,5995.0,414123.0,50.27,48.28,1.45,-2.0
NH 02,210302.0,195581.0,6183.0,412066.0,51.04,47.46,1.5,-3.6
NJ 01,220600.0,150098.0,5679.0,376377.0,58.61,39.88,1.51,-18.7
NJ 02,166360.0,214917.0,5567.0,386844.0,43.0,55.56,1.44,12.6
NJ 03,212712.0,179400.0,6556.0,398668.0,53.36,45.0,1.64,-8.4
NJ 04,142650.0,268072.0,5708.0,416430.0,34.26,64.37,1.37,30.1
NJ 05,200624.0,194529.0,7685.0,402838.0,49.8,48.29,1.91,-1.5
NJ 06,167151.0,146484.0,8106.0,321741.0,51.95,45.53,2.52,-6.4
NJ 07,216349.0,221591.0,8559.0,446499.0,48.45,49.63,1.92,1.2
NJ 08,135327.0,81523.0,5604.0,222454.0,60.83,36.65,2.52,-24.2
NJ 09,137598.0,140857.0,8084.0,286539.0,48.02,49.16,2.82,1.1
NJ 10,196313.0,62570.0,4564.0,263447.0,74.52,23.75,1.73,-50.8
NJ 11,219579.0,183684.0,8424.0,411687.0,53.34,44.62,2.05,-8.7
NJ 12,205449.0,124491.0,9261.0,339201.0,60.57,36.7,2.73,-23.9
NM 01,194152.0,149361.0,2577.0,346090.0,56.1,43.16,0.74,-12.9
NM 02,129940.0,135094.0,3831.0,268865.0,48.33,50.25,1.42,1.9
NM 03,151976.0,137725.0,4426.0,294127.0,51.67,46.83,1.5,-4.8
NV 01,168452.0,160877.0,5970.0,335299.0,50.24,47.98,1.78,-2.3
NV 02,176292.0,235032.0,9839.0,421163.0,41.86,55.81,2.34,13.9
NV 03,187997.0,190836.0,6386.0,385219.0,48.8,49.54,1.66,0.7
NV 04,172456.0,164460.0,6427.0,343343.0,50.23,47.9,1.87,-2.3
NY 01,190070.0,233206.0,6187.0,429463.0,44.26,54.3,1.44,10.0
NY 02,153928.0,204363.0,3846.0,362137.0,42.51,56.43,1.06,13.9
NY 03,178099.0,194286.0,5917.0,378302.0,47.08,51.36,1.56,4.3
NY 04,194428.0,189465.0,4686.0,388579.0,50.04,48.76,1.21,-1.3
NY 05,170189.0,68170.0,3641.0,242000.0,70.33,28.17,1.5,-42.2
NY 06,109480.0,96065.0,3802.0,209347.0,52.3,45.89,1.82,-6.4
NY 07,168187.0,60343.0,6483.0,235013.0,71.56,25.68,2.76,-45.9
NY 08,170067.0,64988.0,3876.0,238931.0,71.18,27.2,1.62,-44.0
NY 09,173762.0,71900.0,5196.0,250858.0,69.27,28.66,2.07,-40.6
NY 10,218940.0,51536.0,6490.0,276966.0,79.05,18.61,2.34,-60.4
NY 11,100628.0,167092.0,5005.0,272725.0,36.9,61.27,1.84,24.4
NY 12,273954.0,58314.0,6785.0,339053.0,80.8,17.2,2.0,-63.6
NY 13,188808.0,46800.0,3932.0,239540.0,78.82,19.54,1.64,-59.3
NY 14,131879.0,67385.0,3859.0,203123.0,64.93,33.17,1.9,-31.8
NY 15,137445.0,47283.0,2112.0,186840.0,73.56,25.31,1.13,-48.3
NY 16,216167.0,108141.0,1990.0,326298.0,66.25,33.14,0.61,-33.1
NY 17,194302.0,192139.0,2902.0,389343.0,49.91,49.35,0.75,-0.6
NY 18,190672.0,178297.0,2437.0,371406.0,51.34,48.01,0.66,-3.3
NY 19,194147.0,187279.0,3483.0,384909.0,50.44,48.66,0.9,-1.8
NY 20,211181.0,158272.0,4481.0,373934.0,56.48,42.33,1.2,-14.1
NY 21,140723.0,214503.0,1820.0,357046.0,39.41,60.08,0.51,20.7
NY 22,194091.0,166358.0,2071.0,362520.0,53.54,45.89,0.57,-7.7
NY 23,154405.0,237453.0,3228.0,395086.0,39.08,60.1,0.82,21.0
NY 24,142999.0,229718.0,2361.0,375078.0,38.13,61.25,0.63,23.1
NY 25,220540.0,151196.0,4220.0,375956.0,58.66,40.22,1.12,-18.4
NY 26,200098.0,134624.0,5064.0,339786.0,58.89,39.62,1.49,-19.3
OH 01,211044.0,185660.0,3923.0,400627.0,52.68,46.34,0.98,-6.3
OH 02,97847.0,278071.0,2855.0,378773.0,25.83,73.41,0.75,47.6
OH 03,249343.0,105192.0,3670.0,358205.0,69.61,29.37,1.02,-40.2
OH 04,126901.0,276506.0,3557.0,406964.0,31.18,67.94,0.87,36.8
OH 05,138264.0,254162.0,3627.0,396053.0,34.91,64.17,0.92,29.3
OH 06,125126.0,253659.0,2984.0,381769.0,32.78,66.44,0.78,33.7
OH 07,185116.0,229610.0,3489.0,418215.0,44.26,54.9,0.83,10.6
OH 08,147398.0,240012.0,3465.0,390875.0,37.71,61.4,0.89,23.7
OH 09,174646.0,200024.0,3539.0,378209.0,46.18,52.89,0.94,6.7
OH 10,176358.0,198059.0,3748.0,378165.0,46.64,52.37,0.99,5.7
OH 11,247399.0,70875.0,2291.0,320565.0,77.18,22.11,0.71,-55.1
OH 12,129839.0,257821.0,3357.0,391017.0,33.21,65.94,0.86,32.7
OH 13,195969.0,195794.0,3590.0,395353.0,49.57,49.52,0.91,-0.0
OH 14,164395.0,236995.0,3435.0,404825.0,40.61,58.54,0.85,17.9
OH 15,164054.0,197676.0,3672.0,365402.0,44.9,54.1,1.0,9.2
OK 01,120251.0,188080.0,6667.0,314998.0,38.18,59.71,2.12,21.5
OK 02,69690.0,250807.0,5124.0,325621.0,21.4,77.02,1.57,55.6
OK 03,73290.0,196570.0,5025.0,274885.0,26.66,71.51,1.83,44.8
OK 04,101433.0,203961.0,5934.0,311328.0,32.58,65.51,1.91,32.9
OK 05,134935.0,196796.0,7610.0,339341.0,39.76,57.99,2.24,18.2
OR 01,245702.0,107307.0,15028.0,368037.0,66.76,29.16,4.08,-37.6
OR 02,128140.0,227486.0,11546.0,367172.0,34.9,61.96,3.14,27.1
OR 03,248433.0,88226.0,14581.0,351240.0,70.73,25.12,4.15,-45.6
OR 04,211870.0,164979.0,14468.0,391317.0,54.14,42.16,3.7,-12.0
OR 05,218398.0,182440.0,15449.0,416287.0,52.46,43.83,3.71,-8.6
OR 06,188844.0,149147.0,13353.0,351344.0,53.75,42.45,3.8,-11.3
PA 01,235100.0,233597.0,4608.0,473305.0,49.67,49.35,0.97,-0.3
PA 02,198759.0,93169.0,3513.0,295441.0,67.28,31.54,1.19,-35.7
PA 03,346947.0,42317.0,4746.0,394010.0,88.06,10.74,1.2,-77.3
PA 04,268397.0,194494.0,4860.0,467751.0,57.38,41.58,1.04,-15.8
PA 05,267157.0,147219.0,4404.0,418780.0,63.79,35.15,1.05,-28.6
PA 06,234627.0,186142.0,4344.0,425113.0,55.19,43.79,1.02,-11.4
PA 07,196712.0,209881.0,4380.0,410973.0,47.86,51.07,1.07,3.2
PA 08,177079.0,210231.0,3127.0,390437.0,45.35,53.85,0.8,8.5
PA 09,121858.0,272905.0,3592.0,398355.0,30.59,68.51,0.9,37.9
PA 10,192789.0,214275.0,4729.0,411793.0,46.82,52.03,1.15,5.2
