district,candidate_1,party_1,votes_1,percent_1,winner_1,incumbent_1,flipped,candidate_2,party_2,votes_2,percent_2,winner_2,incumbent_2,total_votes,margin,house_turnout
FL 09,Soto,D,178785.0,55.13,True,True,False,Chalifoux,R,138076.0,42.58,False,False,316861.0,-12.550000000000004,60.937737391220736
FL 10,Frost,D,181455.0,62.37,True,True,False,Montague,R,109460.0,37.63,False,False,290915.0,-24.739999999999995,52.74212262953697
FL 11,Webster,R,269277.0,60.38,True,True,False,Harden Hall,D,176726.0,39.62,False,False,446003.0,20.760000000000005,75.7072897481816
FL 12,Bilirakis,R,306487.0,71.04,True,True,False,Aboujaoude,D,124949.0,28.96,False,False,431436.0,42.080000000000005,69.36270096463024
FL 13,Luna,R,225636.0,54.82,True,True,False,Fox,D,185930.0,45.18,False,False,411566.0,9.64,66.59536253458683
FL 14,Castor,D,199423.0,56.95,True,True,False,Rochford,R,145643.0,41.59,False,False,345066.0,-15.36,60.93988414806443
FL 15,Lee,R,195334.0,56.18,True,True,False,Kemp,D,152361.0,43.82,False,False,347695.0,12.36,61.00019298584186
FL 16,Buchanan,R,247516.0,59.48,True,True,False,Schneider,D,168625.0,40.52,False,False,416141.0,18.959999999999994,71.05626227268846
FL 17,Steube,R,291347.0,63.9,True,True,False,Lopez,D,164566.0,36.1,False,False,455913.0,27.799999999999997,70.8775884584292
FL 18,Franklin,R,225170.0,65.3,True,True,False,Kale,D,119637.0,34.7,False,False,344807.0,30.599999999999994,59.611358430219994
FL 19,Donalds,R,275708.0,66.32,True,True,False,Lerner,D,140038.0,33.68,False,False,415746.0,32.63999999999999,67.98511916928989
FL 20,Cherfilus-McCormick,D,0.0,100.0,True,True,False,NA,NA,0.0,0.0,NA,NA,0.0,-100.0,0.0
FL 21,Mast,R,277435.0,61.82,True,True,False,Witkop,D,171312.0,38.18,False,False,448747.0,23.64,74.4987590374447
FL 22,Frankel,D,201608.0,54.96,True,True,False,Franzese,R,165248.0,45.04,False,False,366856.0,-9.920000000000002,67.9879167516077
FL 23,Moskowitz,D,196311.0,52.45,True,True,False,Kaufman,R,178006.0,47.55,False,False,374317.0,-4.900000000000006,68.19153975078336
FL 24,Wilson,D,194874.0,68.24,True,True,False,Navarro,R,90692.0,31.76,False,False,285566.0,-36.47999999999999,59.91167430687408
FL 25,Wasserman Schultz,D,186942.0,54.48,True,True,False,Eddy,R,156208.0,45.52,False,False,343150.0,-8.959999999999994,67.2315830721003
FL 26,Diaz-Balart,R,217199.0,70.92,True,True,False,Atkins,D,89072.0,29.08,False,False,306271.0,41.84,66.36999956659298
FL 27,Salazar,R,199159.0,60.38,True,True,False,Baez-Geller,D,130708.0,39.62,False,False,329867.0,20.760000000000005,70.50549309622536
FL 28,Gimenez,R,210057.0,64.57,True,True,False,Ehr,D,115280.0,35.43,False,False,325337.0,29.139999999999993,66.60736221439686
GA 01,Carter,R,220576.0,61.98,True,True,False,Hewitt,D,135281.0,38.02,False,False,355857.0,23.959999999999994,61.59199674608189
GA 02,Bishop,D,176028.0,56.33,True,True,False,Johnson,R,136473.0,43.67,False,False,312501.0,-12.659999999999997,55.36969117099878
GA 03,Jack,R,273036.0,66.31,True,False,False,Keller,D,138749.0,33.69,False,False,411785.0,32.620000000000005,71.99101390746424
GA 04,Johnson,D,229290.0,75.58,True,True,False,Yu,R,74071.0,24.42,False,False,303361.0,-51.16,57.45908780968255
GA 05,Williams,D,294470.0,85.68,True,True,False,Salvesen,R,49221.0,14.32,False,False,343691.0,-71.36000000000001,59.029094531464686
GA 06,McBath,D,277027.0,74.68,True,True,False,Criswell,R,93909.0,25.32,False,False,370936.0,-49.36000000000001,71.25300140225514
GA 07,McCormick,R,275907.0,64.85,True,True,False,Christian,D,149535.0,35.15,False,False,425442.0,29.699999999999996,91.1830768571306
GA 08,Scott,R,231547.0,68.92,True,True,False,Butler,D,104434.0,31.08,False,False,335981.0,37.84,59.15002244659032
GA 09,Clyde,R,271062.0,69.0,True,True,False,Cash,D,121754.0,31.0,False,False,392816.0,38.0,71.23523171361992
GA 10,Collins,R,256442.0,63.05,True,True,False,Doherty,D,150274.0,36.95,False,False,406716.0,26.099999999999994,69.74107479680373
GA 11,Loudermilk,R,269849.0,67.31,True,True,False,Stamper,D,131064.0,32.69,False,False,400913.0,34.620000000000005,72.61403874192877
GA 12,Allen,R,205849.0,60.32,True,True,False,Johnson,D,135417.0,39.68,False,False,341266.0,20.64,59.272780957177964
GA 13,Scott,D,256902.0,71.83,True,True,False,Chavez,R,100730.0,28.17,False,False,357632.0,-43.66,66.79840863669475
GA 14,Greene,R,243446.0,64.37,True,True,False,Harris,D,134759.0,35.63,False,False,378205.0,28.740000000000002,67.56254633475352
HI 01,Case,D,164237.0,71.84,True,True,False,Largey,R,64373.0,28.16,False,False,228610.0,-43.68000000000001,43.55305772528101
HI 02,Tokuda,D,166251.0,66.46,True,True,False,Bond,R,75471.0,30.17,False,False,241722.0,-36.28999999999999,45.98491405960183
IA 01,Miller-Meeks,R,206955.0,50.1,True,True,False,Bohannan,D,206156.0,49.9,False,False,413111.0,0.20000000000000284,68.53599661559646
IA 02,Hinson,R,233340.0,57.13,True,True,False,Corkery,D,169740.0,41.56,False,False,403080.0,15.57,66.86018544628195
IA 03,Nunn,R,213746.0,51.92,True,True,False,Baccam,D,197962.0,48.08,False,False,411708.0,3.8400000000000034,71.17434523295012
IA 04,Feenstra,R,250522.0,67.22,True,True,False,Melton,D,122175.0,32.78,False,False,372697.0,34.44,63.561122859676644
ID 01,Fulcher,R,331049.0,71.01,True,True,False,Peterson,D,118656.0,25.45,False,False,449705.0,45.56,63.72151019858728
ID 02,Simpson,R,250119.0,61.38,True,True,False,Roth,D,126229.0,30.98,False,False,376348.0,30.400000000000002,56.12819996569801
IL 01,Jackson,D,208398.0,65.85,True,True,False,Lewis,R,108064.0,34.15,False,False,316462.0,-31.699999999999996,56.74768902477294
IL 02,Kelly,D,195777.0,67.56,True,True,False,Ramos,R,94004.0,32.44,False,False,289781.0,-35.120000000000005,53.732801780085296
IL 03,Ramirez,D,174825.0,67.29,True,True,False,Booras,R,84987.0,32.71,False,False,259812.0,-34.580000000000005,54.67136619496028
IL 04,Garcia,D,139343.0,67.52,True,True,False,Castillo,R,56323.0,27.29,False,False,195666.0,-40.23,44.73285933106239
IL 05,Quigley,D,251025.0,68.97,True,True,False,Hanson,R,112931.0,31.03,False,False,363956.0,-37.94,65.99024531757112
IL 06,Casten,D,196647.0,54.21,True,True,False,Conforti,R,166116.0,45.79,False,False,362763.0,-8.420000000000002,66.6408869212187
IL 07,Davis,D,222408.0,83.3,True,True,False,Koppie,R,44598.0,16.7,False,False,267006.0,-66.6,49.451965995592026
IL 08,Krishnamoorthi,D,172920.0,57.06,True,True,False,Rice,R,130153.0,42.94,False,False,303073.0,-14.120000000000005,60.83421150352773
IL 09,Schakowsky,D,231722.0,68.39,True,True,False,Cohen,R,107106.0,31.61,False,False,338828.0,-36.78,64.42331824922995
IL 10,Schneider,D,196358.0,59.98,True,True,False,Carris,R,131025.0,40.02,False,False,327383.0,-19.959999999999994,64.17953166504935
IL 11,Foster,D,199825.0,55.59,True,True,False,Evans,R,159630.0,44.41,False,False,359455.0,-11.180000000000007,69.19915295023583
IL 12,Bost,R,272754.0,74.19,True,True,False,Roberts,D,94875.0,25.81,False,False,367629.0,48.379999999999995,63.66641844033043
IL 13,Budzinski,D,191339.0,58.11,True,True,False,Loyd,R,137917.0,41.89,False,False,329256.0,-16.22,57.71156138259833
