GEO_ID,NAME,S1501_C01_001E,S1501_C01_002E,S1501_C01_003E,S1501_C01_004E,S1501_C01_005E,S1501_C01_006E,S1501_C01_007E,S1501_C01_008E,S1501_C01_009E,S1501_C01_010E,S1501_C01_011E,S1501_C01_012E,S1501_C01_013E,S1501_C01_014E,S1501_C01_015E,S1501_C01_016E,S1501_C01_017E,S1501_C01_018E,S1501_C01_019E,S1501_C01_020E,S1501_C01_021E,S1501_C01_022E,S1501_C01_023E,S1501_C01_024E,S1501_C01_025E,S1501_C01_026E,S1501_C01_027E,college_educated
Geography,Geographic Area Name,Population 18 to 24 years,Population 18 to 24 years!!Less than high school graduate,Population 18 to 24 years!!High school graduate (includes equivalency),Population 18 to 24 years!!Some college or associate's degree,Population 18 to 24 years!!Bachelor's degree or higher,Population 25 years and over,Population 25 years and over!!Less than 9th grade,"Population 25 years and over!!9th to 12th grade, no diploma",Population 25 years and over!!High school graduate (includes equivalency),"Population 25 years and over!!Some college, no degree",Population 25 years and over!!Associate's degree,Population 25 years and over!!Bachelor's degree,Population 25 years and over!!Graduate or professional degree,Population 25 years and over!!High school graduate or higher,Population 25 years and over!!Bachelor's degree or higher,Population 25 to 34 years,Population 25 to 34 years!!High school graduate or higher,Population 25 to 34 years!!Bachelor's degree or higher,Population 35 to 44 years,Population 35 to 44 years!!High school graduate or higher,Population 35 to 44 years!!Bachelor's degree or higher,Population 45 to 64 years,Population 45 to 64 years!!High school graduate or higher,Population 45 to 64 years!!Bachelor's degree or higher,Population 65 years and over,Population 65 years and over!!High school graduate or higher,Population 65 years and over!!Bachelor's degree or higher,Total-CollegeEducated
0500000US04015,"Mohave County, Arizona",12424,2662,5465,3565,732,169454,5840,14213,58746,49372,16059,15551,9673,149401,25224,22142,19202,2890,20258,18172,3996,57653,50418,8591,69401,61609,9747,25956
0500000US04017,"Navajo County, Arizona",8348,2101,3909,1851,487,71809,3375,6683,21599,20465,7026,7503,5158,61751,12661,12946,11226,1170,11954,10503,2471,25818,22315,4752,21091,17707,4268,13148
0500000US04019,"Pima County, Arizona",120963,16326,41101,50441,13095,720400,28100,44330,152567,172230,64761,146720,111692,647970,258412,135919,123638,44943,121919,108942,44282,240488,214279,81428,222074,201111,87759,271507
0500000US04021,"Pinal County, Arizona",34216,6663,14954,10594,2005,317410,13079,21436,96302,84351,31935,47556,22751,282895,70307,59636,52651,9826,59086,52554,12032,102934,90510,23186,95754,87180,25263,72312
0500000US04023,"Santa Cruz County, Arizona",4320,644,1971,1440,265,31301,3143,3835,8255,5740,2794,4808,2726,24323,7534,5685,5059,1332,5443,4601,1725,11050,8682,2118,9123,5981,2359,7799
0500000US04025,"Yavapai County, Arizona",15346,2877,5309,6393,767,188587,4224,9926,46739,53494,18378,32658,23168,174437,55826,21845,19776,4278,21930,19680,5057,63934,58800,19040,80878,76181,27451,56593
0500000US04027,"Yuma County, Arizona",21405,2890,8248,9163,1104,134669,15917,15545,35997,33617,11141,14330,8122,103207,22452,28916,24796,4668,23507,18566,5183,40060,28748,6707,42186,31097,5894,23556
0500000US05001,"Arkansas County, Arkansas",1243,238,468,489,48,11640,442,1015,4965,2223,1211,1143,641,10183,1784,1941,1799,322,1968,1878,368,4389,3856,788,3342,2650,306,1832
0500000US05003,"Ashley County, Arkansas",1431,287,627,444,73,13048,656,932,6796,2265,810,1131,458,11460,1589,2083,1906,294,1997,1875,406,4976,4301,461,3992,3378,428,1662
0500000US05005,"Baxter County, Arkansas",2513,480,1126,862,45,32157,948,2460,11142,7927,3651,4317,1712,28749,6029,3930,3414,984,4269,3851,909,10860,9461,1934,13098,12023,2202,6074
0500000US05007,"Benton County, Arkansas",24220,3256,8807,9035,3122,194531,8527,9808,54731,36288,13964,46597,24616,176196,71213,43321,40804,17571,43722,40218,19169,67331,59500,23000,40157,35674,11473,74335
0500000US05009,"Boone County, Arkansas",2704,447,1123,995,139,26566,761,1703,9469,7395,2905,2866,1467,24102,4333,4562,4353,636,4365,4107,725,9696,8718,1778,7943,6924,1194,4472
0500000US05011,"Bradley County, Arkansas",857,279,343,131,104,6932,382,501,3130,1349,477,723,370,6049,1093,1236,1208,140,1259,1179,152,2518,2093,476,1919,1569,325,1197
0500000US05013,"Calhoun County, Arkansas",468,15,256,173,24,3386,73,378,1442,584,296,374,239,2935,613,531,455,113,506,446,158,1325,1132,193,1024,902,149,637
