district,d_total,r_total,other_total,total_votes,d_percent,r_percent,other_percent,Winner,margin,Data source,@
MO-05,"205,104","126,825","6,012","337,941",60.69%,37.53%,1.78%,Harris,23.20%,Missouri_Mapper,Missouri_Mapper
MO-06,"114,786","263,648","4,631","383,065",29.97%,68.83%,1.21%,Trump,-38.90%,Missouri_Mapper,Missouri_Mapper
MO-07,"105,495","265,486","4,633","375,614",28.09%,70.68%,1.23%,Trump,-42.60%,Missouri_Mapper,Missouri_Mapper
MO-08,"82,685","280,875","3,586","367,146",22.52%,76.50%,0.98%,Trump,-54.00%,Missouri_Mapper,Missouri_Mapper
MS-01,"99,871","219,880","4,295","324,046",30.82%,67.85%,1.33%,Trump,-37.00%,Ethan Chen and Joshua Metcalf,ECaliberSeven
MS-02,"171,061","112,641","2,947","286,649",59.68%,39.30%,1.03%,Harris,20.40%,Ethan Chen and Joshua Metcalf,ECaliberSeven
MS-03,"112,877","207,389","3,158","323,424",34.90%,64.12%,0.98%,Trump,-29.20%,Ethan Chen and Joshua Metcalf,ECaliberSeven
MS-04,"82,858","207,834","3,198","293,890",28.19%,70.72%,1.09%,Trump,-42.50%,Ethan Chen and Joshua Metcalf,ECaliberSeven
MT-01,"137,408","174,602","10,050","322,060",42.67%,54.21%,3.12%,Trump,-11.50%,Leon Sit,politicsmaps
MT-02,"94,498","177,477","8,928","280,903",33.64%,63.18%,3.18%,Trump,-29.50%,Leon Sit,politicsmaps
NC-01,"182,925","194,707","3,691","381,323",47.97%,51.06%,0.97%,Trump,-3.10%,Drew Savicki and Leon Sit,drewsav
NC-02,"271,390","132,361","6,934","410,686",66.08%,32.23%,1.69%,Harris,33.90%,Drew Savicki and Leon Sit,politicsmaps
NC-03,"147,421","230,873","4,387","382,682",38.52%,60.33%,1.15%,Trump,-21.80%,Drew Savicki and Leon Sit,drewsav
NC-04,"312,677","115,463","8,287","436,427",71.64%,26.46%,1.90%,Harris,45.20%,Drew Savicki and Leon Sit,politicsmaps
NC-05,"165,401","237,796","4,728","407,925",40.55%,58.29%,1.16%,Trump,-17.70%,Drew Savicki and Leon Sit,politicsmaps
NC-06,"159,247","226,215","5,567","391,029",40.73%,57.85%,1.42%,Trump,-17.10%,Drew Savicki and Leon Sit,politicsmaps
NC-07,"188,974","250,249","5,219","444,443",42.52%,56.31%,1.17%,Trump,-13.80%,Drew Savicki and Leon Sit,drewsav
NC-08,"162,725","241,962","4,984","409,671",39.72%,59.06%,1.22%,Trump,-19.30%,Drew Savicki and Leon Sit,politicsmaps
NC-09,"158,660","219,159","4,791","382,611",41.47%,57.28%,1.25%,Trump,-15.80%,Drew Savicki and Leon Sit,politicsmaps
NC-10,"168,731","242,339","5,460","416,530",40.51%,58.18%,1.31%,Trump,-17.70%,Drew Savicki and Leon Sit,drewsav
NC-11,"196,319","238,089","6,793","441,201",44.50%,53.96%,1.54%,Trump,-9.50%,Drew Savicki and Leon Sit,drewsav
NC-12,"254,839","91,750","6,398","352,986",72.20%,25.99%,1.81%,Harris,46.20%,Drew Savicki and Leon Sit,politicsmaps
NC-13,"175,108","245,078","5,498","425,684",41.14%,57.57%,1.29%,Trump,-16.40%,Drew Savicki and Leon Sit,politicsmaps
NC-14,"170,952","232,367","4,673","407,991",41.90%,56.95%,1.15%,Trump,-15.10%,Drew Savicki and Leon Sit,politicsmaps
ND-AL,"112,327","246,505","6,227","365,059",30.77%,67.52%,1.71%,Trump,-36.80%,North Dakota SoS,
NE-01,"136,153","177,666","4,485","318,304",42.77%,55.82%,1.41%,Trump,-13.00%,Nebraska SoS,
NE-02,"163,541","148,905","4,244","316,690",51.64%,47.02%,1.34%,Harris,4.60%,Nebraska SoS,
NE-03,"70,301","238,245","3,619","312,165",22.52%,76.32%,1.16%,Trump,-53.80%,Nebraska SoS,
NH-01,"208,186","199,942","5,995","414,123",50.27%,48.28%,1.45%,Harris,2.00%,Leon Sit,politicsmaps
NH-02,"210,302","195,581","6,183","412,066",51.04%,47.46%,1.50%,Harris,3.60%,Leon Sit,politicsmaps
NJ-01,"220,600","150,098","5,679","376,377",58.61%,39.88%,1.51%,Harris,18.70%,Ethan Chen,ecaliberseven
NJ-02,"166,360","214,917","5,567","386,844",43.00%,55.56%,1.44%,Trump,-12.60%,Ethan Chen,ecaliberseven
NJ-03,"212,712","179,400","6,556","398,668",53.36%,45.00%,1.64%,Harris,8.40%,Ethan Chen,ecaliberseven
NJ-04,"142,650","268,072","5,708","416,430",34.26%,64.37%,1.37%,Trump,-30.10%,Ethan Chen,ecaliberseven
NJ-05,"200,624","194,529","7,685","402,838",49.80%,48.29%,1.91%,Harris,1.50%,Ethan Chen,ecaliberseven
NJ-06,"167,151","146,484","8,106","321,741",51.95%,45.53%,2.52%,Harris,6.40%,Ethan Chen,ecaliberseven
NJ-07,"216,349","221,591","8,559","446,499",48.45%,49.63%,1.92%,Trump,-1.20%,Ethan Chen,ecaliberseven
NJ-08,"135,327","81,523","5,604","222,454",60.83%,36.65%,2.52%,Harris,24.20%,Ethan Chen,ecaliberseven
NJ-09,"137,598","140,857","8,084","286,539",48.02%,49.16%,2.82%,Trump,-1.10%,Ethan Chen,ecaliberseven
NJ-10,"196,313","62,570","4,564","263,447",74.52%,23.75%,1.73%,Harris,50.80%,Ethan Chen,ecaliberseven
NJ-11,"219,579","183,684","8,424","411,687",53.34%,44.62%,2.05%,Harris,8.70%,Ethan Chen,ecaliberseven
NJ-12,"205,449","124,491","9,261","339,201",60.57%,36.70%,2.73%,Harris,23.90%,Ethan Chen,ecaliberseven
NM-01,"194,152","149,361","2,577","346,090",56.10%,43.16%,0.74%,Harris,12.90%,Drew Savicki,
NM-02,"129,940","135,094","3,831","268,865",48.33%,50.25%,1.42%,Trump,-1.90%,Drew Savicki,
NM-03,"151,976","137,725","4,426","294,127",51.67%,46.83%,1.50%,Harris,4.80%,Drew Savicki,
NV-01,"168,452","160,877","5,970","335,299",50.24%,47.98%,1.78%,Harris,2.30%,Drew Savicki,
NV-02,"176,292","235,032","9,839","421,163",41.86%,55.81%,2.34%,Trump,-13.90%,Drew Savicki,
NV-03,"187,997","190,836","6,386","385,219",48.80%,49.54%,1.66%,Trump,-0.70%,Drew Savicki,
NV-04,"172,456","164,460","6,427","343,343",50.23%,47.90%,1.87%,Harris,2.30%,Drew Savicki,
NY-01,"190,070","233,206","6,187","429,463",44.26%,54.30%,1.44%,Trump,-10.00%,Ben Rosenblatt,benj_rosenblatt
NY-02,"153,928","204,363","3,846","362,137",42.51%,56.43%,1.06%,Trump,-13.90%,Ben Rosenblatt,benj_rosenblatt
NY-03,"178,099","194,286","5,917","378,302",47.08%,51.36%,1.56%,Trump,-4.30%,Ben Rosenblatt,benj_rosenblatt
NY-04,"194,428","189,465","4,686","388,579",50.04%,48.76%,1.21%,Harris,1.30%,Ben Rosenblatt,benj_rosenblatt
NY-05,"170,189","68,170","3,641","242,000",70.33%,28.17%,1.50%,Harris,42.20%,NYC BoE,
NY-06,"109,480","96,065","3,802","209,347",52.30%,45.89%,1.82%,Harris,6.40%,NYC BoE,
NY-07,"168,187","60,343","6,483","235,013",71.56%,25.68%,2.76%,Harris,45.90%,NYC BoE,
NY-08,"170,067","64,988","3,876","238,931",71.18%,27.20%,1.62%,Harris,44.00%,NYC BoE,
NY-09,"173,762","71,900","5,196","250,858",69.27%,28.66%,2.07%,Harris,40.60%,NYC BoE,
NY-10,"218,940","51,536","6,490","276,966",79.05%,18.61%,2.34%,Harris,60.40%,NYC BoE,
NY-11,"100,628","167,092","5,005","272,725",36.90%,61.27%,1.84%,Trump,-24.40%,NYC BoE,
NY-12,"273,954","58,314","6,785","339,053",80.80%,17.20%,2.00%,Harris,63.60%,NYC BoE,
NY-13,"188,808","46,800","3,932","239,540",78.82%,19.54%,1.64%,Harris,59.30%,NYC BoE,
NY-14,"131,879","67,385","3,859","203,123",64.93%,33.17%,1.90%,Harris,31.80%,NYC BoE,
NY-15,"137,445","47,283","2,112","186,840",73.56%,25.31%,1.13%,Harris,48.30%,NYC BoE,
NY-16,"216,167","108,141","1,990","326,298",66.25%,33.14%,0.61%,Harris,33.10%,Ben Rosenblatt,benj_rosenblatt
NY-17,"194,302","192,139","2,902","389,343",49.91%,49.35%,0.75%,Harris,0.60%,Ben Rosenblatt,benj_rosenblatt
NY-18,"190,672","178,297","2,437","371,406",51.34%,48.01%,0.66%,Harris,3.30%,Ben Rosenblatt,benj_rosenblatt
NY-19,"194,147","187,279","3,483","384,909",50.44%,48.66%,0.90%,Harris,1.80%,Ben Rosenblatt,benj_rosenblatt
NY-20,"211,181","158,272","4,481","373,934",56.48%,42.33%,1.20%,Harris,14.10%,Ben Rosenblatt,benj_rosenblatt
NY-21,"140,723","214,503","1,820","357,046",39.41%,60.08%,0.51%,Trump,-20.70%,Ben Rosenblatt,benj_rosenblatt
NY-22,"194,091","166,358","2,071","362,520",53.54%,45.89%,0.57%,Harris,7.70%,Ben Rosenblatt,benj_rosenblatt
NY-23,"154,405","237,453","3,228","395,086",39.08%,60.10%,0.82%,Trump,-21.00%,Ben Rosenblatt,benj_rosenblatt
NY-24,"142,999","229,718","2,361","375,078",38.13%,61.25%,0.63%,Trump,-23.10%,Ben Rosenblatt,benj_rosenblatt
NY-25,"220,540","151,196","4,220","375,956",58.66%,40.22%,1.12%,Harris,18.40%,Ben Rosenblatt,benj_rosenblatt
NY-26,"200,098","134,624","5,064","339,786",58.89%,39.62%,1.49%,Harris,19.30%,Ben Rosenblatt,benj_rosenblatt
OH-01,"211,044","185,660","3,923","400,627",52.68%,46.34%,0.98%,Harris,6.30%,@OPoliticsGuru,
OH-02,"97,847","278,071","2,855","378,773",25.83%,73.41%,0.75%,Trump,-47.60%,@OPoliticsGuru,
OH-03,"249,343","105,192","3,670","358,205",69.61%,29.37%,1.02%,Harris,40.20%,@OPoliticsGuru,
OH-04,"126,901","276,506","3,557","406,964",31.18%,67.94%,0.87%,Trump,-36.80%,@OPoliticsGuru,
OH-05,"138,264","254,162","3,627","396,053",34.91%,64.17%,0.92%,Trump,-29.30%,@OPoliticsGuru,
OH-06,"125,126","253,659","2,984","381,769",32.78%,66.44%,0.78%,Trump,-33.70%,@OPoliticsGuru,
OH-07,"185,116","229,610","3,489","418,215",44.26%,54.90%,0.83%,Trump,-10.60%,@OPoliticsGuru,
OH-08,"147,398","240,012","3,465","390,875",37.71%,61.40%,0.89%,Trump,-23.70%,@OPoliticsGuru,
OH-09,"174,646","200,024","3,539","378,209",46.18%,52.89%,0.94%,Trump,-6.70%,@OPoliticsGuru,
OH-10,"176,358","198,059","3,748","378,165",46.64%,52.37%,0.99%,Trump,-5.70%,@OPoliticsGuru,
OH-11,"247,399","70,875","2,291","320,565",77.18%,22.11%,0.71%,Harris,55.10%,@OPoliticsGuru,
OH-12,"129,839","257,821","3,357","391,017",33.21%,65.94%,0.86%,Trump,-32.70%,@OPoliticsGuru,
OH-13,"195,969","195,794","3,590","395,353",49.57%,49.52%,0.91%,Harris,0.00%,@OPoliticsGuru,
OH-14,"164,395","236,995","3,435","404,825",40.61%,58.54%,0.85%,Trump,-17.90%,@OPoliticsGuru,
OH-15,"164,054","197,676","3,672","365,402",44.90%,54.10%,1.00%,Trump,-9.20%,@OPoliticsGuru,
OK-01,"120,251","188,080","6,667","314,998",38.18%,59.71%,2.12%,Trump,-21.50%,Drew Savicki,
OK-02,"69,690","250,807","5,124","325,621",21.40%,77.02%,1.57%,Trump,-55.60%,Drew Savicki,
OK-03,"73,290","196,570","5,025","274,885",26.66%,71.51%,1.83%,Trump,-44.80%,Drew Savicki,
OK-04,"101,433","203,961","5,934","311,328",32.58%,65.51%,1.91%,Trump,-32.90%,Drew Savicki,
OK-05,"134,935","196,796","7,610","339,341",39.76%,57.99%,2.24%,Trump,-18.20%,Drew Savicki,
OR-01,"245,702","107,307","15,028","368,037",66.76%,29.16%,4.08%,Harris,37.60%,Jude,oregonmapguy
OR-02,"128,140","227,486","11,546","367,172",34.90%,61.96%,3.14%,Trump,-27.10%,Jude,oregonmapguy
OR-03,"248,433","88,226","14,581","351,240",70.73%,25.12%,4.15%,Harris,45.60%,Jude,oregonmapguy
OR-04,"211,870","164,979","14,468","391,317",54.14%,42.16%,3.70%,Harris,12.00%,Jude,oregonmapguy
OR-05,"218,398","182,440","15,449","416,287",52.46%,43.83%,3.71%,Harris,8.60%,Jude,oregonmapguy
OR-06,"188,844","149,147","13,353","351,344",53.75%,42.45%,3.80%,Harris,11.30%,Jude,oregonmapguy
PA-01,"235,100","233,597","4,608","473,305",49.67%,49.35%,0.97%,Harris,0.30%,Leon Sit,politicsmaps
PA-02,"198,759","93,169","3,513","295,441",67.28%,31.54%,1.19%,Harris,35.70%,Leon Sit,politicsmaps
PA-03,"346,947","42,317","4,746","394,010",88.06%,10.74%,1.20%,Harris,77.30%,Leon Sit,politicsmaps
PA-04,"268,397","194,494","4,860","467,751",57.38%,41.58%,1.04%,Harris,15.80%,Leon Sit,politicsmaps
PA-05,"267,157","147,219","4,404","418,780",63.79%,35.15%,1.05%,Harris,28.60%,Leon Sit,politicsmaps
PA-06,"234,627","186,142","4,344","425,113",55.19%,43.79%,1.02%,Harris,11.40%,Leon Sit,politicsmaps
PA-07,"196,712","209,881","4,380","410,973",47.86%,51.07%,1.07%,Trump,-3.20%,Leon Sit,politicsmaps
PA-08,"177,079","210,231","3,127","390,437",45.35%,53.85%,0.80%,Trump,-8.50%,Leon Sit,politicsmaps
PA-09,"121,858","272,905","3,592","398,355",30.59%,68.51%,0.90%,Trump,-37.90%,Leon Sit,politicsmaps
PA-10,"192,789","214,275","4,729","411,793",46.82%,52.03%,1.15%,Trump,-5.20%,Leon Sit,politicsmaps
PA-11,"160,185","248,335","4,039","412,559",38.83%,60.19%,0.98%,Trump,-21.40%,Leon Sit,politicsmaps
PA-12,"253,683","171,396","3,970","429,049",59.13%,39.95%,0.93%,Harris,19.20%,Leon Sit,politicsmaps
PA-13,"110,793","298,896","3,308","412,997",26.83%,72.37%,0.80%,Trump,-45.50%,Leon Sit,politicsmaps
PA-14,"138,822","279,264","2,996","421,082",32.97%,66.32%,0.71%,Trump,-33.40%,Leon Sit,politicsmaps
PA-15,"121,641","272,777","3,309","397,727",30.58%,68.58%,0.83%,Trump,-38.00%,Leon Sit,politicsmaps
PA-16,"159,531","254,618","3,526","417,675",38.20%,60.96%,0.84%,Trump,-22.80%,Leon Sit,politicsmaps
PA-17,"238,962","213,792","4,345","457,099",52.28%,46.77%,0.95%,Harris,5.50%,Leon Sit,politicsmaps
RI-01,"140,828","88,795","6,420","236,043",59.66%,37.62%,2.72%,Harris,22.00%,Drew Savicki,
RI-02,"144,328","125,611","7,390","277,329",52.04%,45.29%,2.66%,Harris,6.70%,Drew Savicki,
SC-01,"170,913","222,767","6,068","399,748",42.76%,55.73%,1.52%,Trump,-13.00%,Raunak Mondal,
SC-02,"154,676","205,609","5,470","365,755",42.29%,56.21%,1.50%,Trump,-13.90%,Raunak Mondal,
SC-03,"99,185","252,653","4,528","356,366",27.83%,70.90%,1.27%,Trump,-43.10%,Raunak Mondal,
SC-04,"132,541","216,081","5,727","354,349",37.40%,60.98%,1.62%,Trump,-23.60%,Raunak Mondal,
SC-05,"141,507","226,471","5,071","373,049",37.93%,60.71%,1.36%,Trump,-22.80%,Raunak Mondal,
SC-06,"189,949","119,120","5,024","314,093",60.48%,37.93%,1.60%,Harris,22.60%,Raunak Mondal,
SC-07,"139,681","241,046","4,052","384,779",36.30%,62.65%,1.05%,Trump,-26.30%,Raunak Mondal,
SD-AL,"146,859","272,081","9,982","428,922",34.24%,63.43%,2.33%,Trump,-29.20%,Drew Savicki,
TN-01,"71,641","273,119","3,569","348,328",20.57%,78.41%,1.02%,Trump,-57.80%,Drew Savicki,
TN-02,"118,782","242,988","5,048","366,818",32.38%,66.24%,1.38%,Trump,-33.90%,Drew Savicki,
TN-03,"113,481","243,122","4,735","361,338",31.41%,67.28%,1.31%,Trump,-35.90%,Drew Savicki,
TN-04,"93,024","239,838","4,025","336,886",27.61%,71.19%,1.19%,Trump,-43.60%,Drew Savicki,
TN-05,"148,953","215,598","5,924","370,476",40.21%,58.20%,1.60%,Trump,-18.00%,Drew Savicki,
TN-06,"115,402","241,384","4,489","361,274",31.94%,66.81%,1.24%,Trump,-34.90%,Drew Savicki,
TN-07,"127,832","202,528","4,875","335,235",38.13%,60.41%,1.45%,Trump,-22.30%,Drew Savicki,
TN-08,"100,646","243,930","3,956","348,532",28.88%,69.99%,1.14%,Trump,-41.10%,Drew Savicki,
TN-09,"166,505","64,358","4,192","235,055",70.84%,27.38%,1.78%,Harris,43.50%,Drew Savicki,
TX-01,"78,554","246,341","2,867","327,762",23.97%,75.16%,0.87%,Trump,-51.20%,Ou_Dev95,
TX-02,"124,591","203,572","4,133","332,296",37.49%,61.26%,1.24%,Trump,-23.80%,Ou_Dev95,
TX-03,"153,496","232,845","10,745","397,086",38.66%,58.64%,2.71%,Trump,-20.00%,Ou_Dev95,
TX-04,"120,188","239,000","6,584","365,772",32.86%,65.34%,1.80%,Trump,-32.50%,Ou_Dev95,
TX-05,"111,027","194,765","4,172","309,964",35.82%,62.83%,1.35%,Trump,-27.00%,Ou_Dev95,
TX-06,"104,283","188,788","3,898","296,969",35.12%,63.57%,1.31%,Trump,-28.50%,Ou_Dev95,
TX-07,"148,939","96,446","7,775","253,160",58.83%,38.10%,3.07%,Harris,20.70%,Ou_Dev95,
TX-08,"113,192","231,430","4,516","349,138",32.42%,66.29%,1.29%,Trump,-33.90%,Ou_Dev95,
TX-09,"169,152","64,547","3,789","237,488",71.23%,27.18%,1.60%,Harris,44.00%,Ou_Dev95,
TX-10,"131,832","220,455","5,662","357,949",36.83%,61.59%,1.58%,Trump,-24.80%,Ou_Dev95,
TX-11,"71,371","192,256","2,770","266,397",26.79%,72.17%,1.04%,Trump,-45.40%,Ou_Dev95,
TX-12,"131,637","209,675","4,231","345,543",38.10%,60.68%,1.22%,Trump,-22.60%,Ou_Dev95,
TX-13,"77,647","222,444","3,246","303,337",25.60%,73.33%,1.07%,Trump,-47.70%,Ou_Dev95,
TX-14,"101,609","208,133","3,334","313,076",32.46%,66.48%,1.06%,Trump,-34.00%,Ou_Dev95,
TX-15,"93,470","134,492","1,985","229,947",40.65%,58.49%,0.86%,Trump,-17.80%,Ou_Dev95,
TX-16,"132,189","95,314","3,432","230,935",57.24%,41.27%,1.49%,Harris,16.00%,Ou_Dev95,
TX-17,"105,151","193,379","3,684","302,214",34.79%,63.99%,1.22%,Trump,-29.20%,Ou_Dev95,
TX-18,"154,658","65,672","3,386","223,716",69.13%,29.36%,1.51%,Harris,39.80%,Ou_Dev95,
TX-19,"66,862","212,708","2,764","282,334",23.68%,75.34%,0.98%,Trump,-51.70%,Ou_Dev95,
TX-20,"147,731","95,409","3,472","246,612",59.90%,38.69%,1.41%,Harris,21.20%,Ou_Dev95,
TX-21,"163,529","266,214","5,749","435,492",37.55%,61.13%,1.32%,Trump,-23.60%,Ou_Dev95,
TX-22,"136,415","204,250","7,520","348,185",39.18%,58.66%,2.16%,Trump,-19.50%,Ou_Dev95,
TX-23,"127,466","174,884","3,611","305,961",41.66%,57.16%,1.18%,Trump,-15.50%,Ou_Dev95,
TX-24,"157,912","217,060","7,398","382,370",41.30%,56.77%,1.93%,Trump,-15.50%,Ou_Dev95,
TX-25,"106,958","231,281","4,258","342,497",31.23%,67.53%,1.24%,Trump,-36.30%,Ou_Dev95,
TX-26,"149,357","242,431","5,673","397,461",37.58%,60.99%,1.43%,Trump,-23.40%,Ou_Dev95,
TX-27,"99,365","184,202","2,742","286,309",34.71%,64.34%,0.96%,Trump,-29.60%,Ou_Dev95,
TX-28,"114,995","133,220","2,737","250,952",45.82%,53.09%,1.09%,Trump,-7.30%,Ou_Dev95,
TX-29,"92,820","61,054","1,914","155,788",59.58%,39.19%,1.23%,Harris,20.40%,Ou_Dev95,
TX-30,"185,466","65,876","4,242","255,584",72.57%,25.77%,1.66%,Harris,46.80%,Ou_Dev95,
TX-31,"142,612","230,599","6,324","379,535",37.58%,60.76%,1.67%,Trump,-23.20%,Ou_Dev95,
TX-32,"145,115","88,312","7,103","240,530",60.33%,36.72%,2.95%,Harris,23.60%,Ou_Dev95,
TX-33,"113,651","55,269","4,443","173,363",65.56%,31.88%,2.56%,Harris,33.70%,Ou_Dev95,
TX-34,"96,999","106,063","1,854","204,916",47.34%,51.76%,0.90%,Trump,-4.40%,Ou_Dev95,
TX-35,"176,214","86,521","5,104","267,839",65.79%,32.30%,1.91%,Harris,33.50%,Ou_Dev95,
TX-36,"94,136","205,595","3,419","303,150",31.05%,67.82%,1.13%,Trump,-36.80%,Ou_Dev95,
TX-37,"259,547","85,851","9,098","354,496",73.22%,24.22%,2.57%,Harris,49.00%,Ou_Dev95,
TX-38,"134,998","207,050","6,357","348,405",38.75%,59.43%,1.82%,Trump,-20.70%,Ou_Dev95,
UT-01,"144,821","220,203","11,134","376,158",38.50%,58.54%,2.96%,Trump,-20.00%,Leon Sit,
UT-02,"140,202","214,067","9,281","363,550",38.56%,58.88%,2.55%,Trump,-20.30%,Leon Sit,
UT-03,"146,114","218,568","10,450","375,132",38.95%,58.26%,2.79%,Trump,-19.30%,Leon Sit,
UT-04,"131,429","230,980","10,702","373,111",35.23%,61.91%,2.87%,Trump,-26.70%,Leon Sit,
VA-01,"227,074","250,992","8,525","486,591",46.67%,51.58%,1.75%,Trump,-4.90%,Cinyc9,
VA-02,"203,215","204,280","6,689","414,184",49.06%,49.32%,1.61%,Trump,-0.30%,Cinyc9,
VA-03,"213,089","102,194","5,646","320,929",66.40%,31.84%,1.76%,Harris,34.60%,Cinyc9,
VA-04,"250,985","125,928","6,822","383,735",65.41%,32.82%,1.78%,Harris,32.60%,Cinyc9,
VA-05,"191,693","246,006","6,390","444,089",43.17%,55.40%,1.44%,Trump,-12.20%,Cinyc9,
VA-06,"154,343","252,663","6,553","413,559",37.32%,61.09%,1.58%,Trump,-23.80%,Cinyc9,
VA-07,"203,210","191,700","9,154","404,064",50.29%,47.44%,2.27%,Harris,2.80%,Cinyc9,
VA-08,"285,004","92,725","12,487","390,216",73.04%,23.76%,3.20%,Harris,49.30%,Cinyc9,
VA-09,"112,210","291,613","4,723","408,546",27.47%,71.38%,1.16%,Trump,-43.90%,Cinyc9,
VA-10,"221,133","186,201","13,200","420,534",52.58%,44.28%,3.14%,Harris,8.30%,Cinyc9,
VA-11,"273,439","130,783","15,272","419,494",65.18%,31.18%,3.64%,Harris,34.00%,Cinyc9,
VT-AL,"235,791","119,395","11,203","366,389",64.36%,32.59%,3.06%,Harris,31.80%,Vermont Secretary of State,
WA-01,"232,691","126,084","15,625","374,400",62.15%,33.68%,4.17%,Harris,28.50%,Washington Secretary of State,
WA-02,"254,400","154,441","16,277","425,118",59.84%,36.33%,3.83%,Harris,23.50%,Washington Secretary of State,
WA-03,"197,986","211,907","14,310","424,203",46.67%,49.95%,3.37%,Trump,-3.30%,Washington Secretary of State,
WA-04,"119,032","183,219","10,073","312,324",38.11%,58.66%,3.23%,Trump,-20.60%,Washington Secretary of State,
WA-05,"173,909","217,375","14,538","405,822",42.85%,53.56%,3.58%,Trump,-10.70%,Washington Secretary of State,
WA-06,"251,826","168,264","16,230","436,320",57.72%,38.56%,3.72%,Harris,19.20%,Washington Secretary of State,
WA-07,"373,392","47,188","17,044","437,624",85.32%,10.78%,3.89%,Harris,74.50%,Washington Secretary of State,
WA-08,"218,294","193,710","16,595","428,599",50.93%,45.20%,3.87%,Harris,5.70%,Washington Secretary of State,
WA-09,"219,426","88,121","13,058","320,605",68.44%,27.49%,4.07%,Harris,41.00%,Washington Secretary of State,
WA-10,"204,893","140,614","13,721","359,228",57.04%,39.14%,3.82%,Harris,17.90%,Washington Secretary of State,
WI-01,189560,207736,"6,933",404229,46.89%,51.39%,1.72%,Trump,-4.50%,Wisconsin Elections Commission,
WI-02,324784,136735,"8,089",469608,69.16%,29.12%,1.72%,Harris,40.00%,Wisconsin Elections Commission,
WI-03,191708,222857,"7,176",421741,45.46%,52.84%,1.70%,Trump,-7.40%,Wisconsin Elections Commission,
WI-04,258176,80483,"7,045",345704,74.68%,23.28%,2.04%,Harris,51.40%,Wisconsin Elections Commission,
WI-05,183713,290101,"7,789",481603,38.15%,60.24%,1.62%,Trump,-22.10%,Wisconsin Elections Commission,
WI-06,175452,245778,"6,539",427769,41.02%,57.46%,1.53%,Trump,-16.40%,Wisconsin Elections Commission,
WI-07,"167,604","266,844","7,362","441,810",37.94%,60.40%,1.67%,Trump,-22.50%,Wisconsin Elections Commission,
WI-08,"177,232","247,092","6,130","430,454",41.17%,57.40%,1.42%,Trump,-16.20%,Wisconsin Elections Commission,
WV-01,"98,066","259,831","6,765","364,662",26.89%,71.25%,1.86%,Trump,-44.40%,Drew Savicki,
WV-02,"116,243","273,725","7,760","397,728",29.23%,68.82%,1.95%,Trump,-39.60%,Drew Savicki,
WY-AL,"69,527","192,633","4,193","266,353",26.10%,72.32%,1.57%,Trump,-46.20%,Wyoming Secretary of State,
