district,d_total,r_total,other_total,total_votes,d_percent,r_percent,other_percent,Winner,margin,Data source,@
FL-04,"173,072","220,106","5,559","398,737",43.41%,55.20%,1.39%,Trump,-11.80%,Matt Isbell and FL Pol Enjoyer,MappingFL
FL-05,"169,104","262,791","7,173","439,068",38.51%,59.85%,1.63%,Trump,-21.30%,Matt Isbell and FL Pol Enjoyer,MappingFL
FL-06,"152,648","285,400","4,687","442,735",34.48%,64.46%,1.06%,Trump,-30.00%,Matt Isbell and FL Pol Enjoyer,MappingFL
FL-07,"184,389","237,638","6,567","428,594",43.02%,55.45%,1.53%,Trump,-12.40%,Matt Isbell and FL Pol Enjoyer,MappingFL
FL-08,"177,212","280,407","6,363","463,982",38.19%,60.43%,1.37%,Trump,-22.20%,Matt Isbell and FL Pol Enjoyer,MappingFL
FL-09,"169,678","157,999","4,946","332,623",51.01%,47.50%,1.49%,Harris,3.50%,Matt Isbell and FL Pol Enjoyer,MappingFL
FL-10,"182,937","114,482","5,280","302,699",60.44%,37.82%,1.74%,Harris,22.60%,Matt Isbell and FL Pol Enjoyer,MappingFL
FL-11,"189,098","263,141","5,873","458,112",41.28%,57.44%,1.28%,Trump,-16.20%,Matt Isbell and FL Pol Enjoyer,MappingFL
FL-12,"143,215","296,459","5,070","444,744",32.20%,66.66%,1.14%,Trump,-34.50%,Matt Isbell and FL Pol Enjoyer,MappingFL
FL-13,"182,362","231,968","5,738","420,068",43.41%,55.22%,1.37%,Trump,-11.80%,Matt Isbell and FL Pol Enjoyer,MappingFL
FL-14,"190,432","163,008","5,812","359,252",53.01%,45.37%,1.62%,Harris,7.60%,Matt Isbell and FL Pol Enjoyer,MappingFL
FL-15,"155,664","195,539","6,609","357,812",43.50%,54.65%,1.85%,Trump,-11.10%,Matt Isbell and FL Pol Enjoyer,MappingFL
FL-16,"177,608","243,281","5,448","426,337",41.66%,57.06%,1.28%,Trump,-15.40%,Matt Isbell and FL Pol Enjoyer,MappingFL
FL-17,"175,910","287,639","5,064","468,613",37.54%,61.38%,1.08%,Trump,-23.80%,Matt Isbell and FL Pol Enjoyer,MappingFL
FL-18,"124,283","228,976","3,891","357,150",34.80%,64.11%,1.09%,Trump,-29.30%,Matt Isbell and FL Pol Enjoyer,MappingFL
