state_name,state_code,county_name,population,total_votes,_merge
Colorado,CO,Archuleta County,14189.0,9355.0,both
Colorado,CO,Baca County,3344.0,2004.0,both
Colorado,CO,Bent County,5681.0,2189.0,both
Colorado,CO,Boulder County,326831.0,196150.0,both
Colorado,CO,Broomfield County,76860.0,46817.0,both
Colorado,CO,Chaffee County,20617.0,14416.0,both
Colorado,CO,Cheyenne County,1727.0,1055.0,both
Colorado,CO,Clear Creek County,9147.0,6101.0,both
Colorado,CO,Conejos County,7521.0,4104.0,both
Colorado,CO,Costilla County,3628.0,2080.0,both
Colorado,CO,Crowley County,5636.0,1706.0,both
Colorado,CO,Custer County,5534.0,3867.0,both
Colorado,CO,Delta County,31746.0,19476.0,both
Colorado,CO,Denver County,716577.0,363076.0,both
Colorado,CO,Dolores County,2513.0,1419.0,both
Colorado,CO,Douglas County,383906.0,243758.0,both
Colorado,CO,Eagle County,54381.0,27798.0,both
Colorado,CO,El Paso County,744215.0,380813.0,both
Colorado,CO,Elbert County,28806.0,20417.0,both
Colorado,CO,Fremont County,50318.0,25467.0,both
Colorado,CO,Garfield County,62707.0,30372.0,both
Colorado,CO,Gilpin County,5926.0,4129.0,both
Colorado,CO,Grand County,15935.0,9883.0,both
Colorado,CO,Gunnison County,17321.0,10939.0,both
Colorado,CO,Hinsdale County,765.0,606.0,both
Colorado,CO,Huerfano County,7055.0,4438.0,both
Colorado,CO,Jackson County,1309.0,834.0,both
Colorado,CO,Jefferson County,576366.0,361504.0,both
Colorado,CO,Kiowa County,1384.0,863.0,both
Colorado,CO,Kit Carson County,6994.0,3698.0,both
Colorado,CO,La Plata County,56407.0,35681.0,both
Colorado,CO,Lake County,7365.0,3911.0,both
Colorado,CO,Larimer County,370771.0,225482.0,both
Colorado,CO,Las Animas County,14348.0,7792.0,both
Colorado,CO,Lincoln County,5480.0,2571.0,both
Colorado,CO,Logan County,20619.0,10162.0,both
Colorado,CO,Mesa County,159681.0,91600.0,both
Colorado,CO,Mineral County,944.0,753.0,both
Colorado,CO,Moffat County,13327.0,6671.0,both
Colorado,CO,Montezuma County,26531.0,15136.0,both
Colorado,CO,Montrose County,44156.0,25617.0,both
Colorado,CO,Morgan County,29524.0,13458.0,both
Colorado,CO,Otero County,18136.0,8925.0,both
Colorado,CO,Ouray County,5176.0,4098.0,both
Colorado,CO,Park County,18117.0,12044.0,both
Colorado,CO,Phillips County,4476.0,2354.0,both
Colorado,CO,Pitkin County,16640.0,11167.0,both
Colorado,CO,Prowers County,11751.0,5144.0,both
Colorado,CO,Pueblo County,169422.0,85107.0,both
Colorado,CO,Rio Blanco County,6569.0,3690.0,both
Colorado,CO,Rio Grande County,11188.0,6194.0,both
Colorado,CO,Routt County,25064.0,16335.0,both
Colorado,CO,Saguache County,6688.0,3400.0,both
Colorado,CO,San Juan County,802.0,588.0,both
Colorado,CO,San Miguel County,7868.0,4804.0,both
Colorado,CO,Sedgwick County,2299.0,1358.0,both
Colorado,CO,Summit County,30465.0,17542.0,both
Colorado,CO,Teller County,24617.0,16326.0,both
Colorado,CO,Washington County,4855.0,2806.0,both
Colorado,CO,Weld County,359442.0,179854.0,both
Colorado,CO,Yuma County,9862.0,4663.0,both
Connecticut,CT,Capitol Planning Region,975328.0,474268.0,both
Connecticut,CT,Greater Bridgeport Planning Region,327651.0,137015.0,both
Connecticut,CT,Lower Connecticut River Valley Planning Region,176215.0,104480.0,both
Connecticut,CT,Naugatuck Valley Planning Region,456128.0,217520.0,both
Connecticut,CT,Northeastern Connecticut Planning Region,96692.0,50962.0,both
Connecticut,CT,Northwest Hills Planning Region,113463.0,64076.0,both
Connecticut,CT,South Central Connecticut Planning Region,568158.0,264854.0,both
Connecticut,CT,Southeastern Connecticut Planning Region,279634.0,136954.0,both
Connecticut,CT,Western Connecticut Planning Region,623907.0,308300.0,both
District of Columbia,DC,District of Columbia,678972.0,325869.0,both
,DC,Ward 1,,40463.0,right_only
,DC,Ward 2,,37959.0,right_only
,DC,Ward 3,,44584.0,right_only
,DC,Ward 4,,42403.0,right_only
,DC,Ward 5,,45114.0,right_only
,DC,Ward 6,,48678.0,right_only
,DC,Ward 7,,37037.0,right_only
,DC,Ward 8,,29631.0,right_only
Delaware,DE,Kent County,189789.0,88141.0,both
Delaware,DE,New Castle County,578592.0,275917.0,both
Delaware,DE,Sussex County,263509.0,147639.0,both
Florida,FL,Alachua County,285994.0,136548.0,both
Florida,FL,Baker County,28368.0,14977.0,both
Florida,FL,Bay County,190769.0,97775.0,both
Florida,FL,Bradford County,27858.0,13932.0,both
Florida,FL,Brevard County,643979.0,361449.0,both
Florida,FL,Broward County,1962531.0,874526.0,both
Florida,FL,Calhoun County,13470.0,6428.0,both
Florida,FL,Charlotte County,206134.0,123674.0,both
Florida,FL,Citrus County,166696.0,98233.0,both
Florida,FL,Clay County,232439.0,126806.0,both
Florida,FL,Collier County,404310.0,216363.0,both
Florida,FL,Columbia County,73063.0,33592.0,both
Florida,FL,DeSoto County,35979.0,12488.0,both
Florida,FL,Dixie County,17465.0,8148.0,both
Florida,FL,Duval County,1030822.0,471268.0,both
Florida,FL,Escambia County,326928.0,162754.0,both
Florida,FL,Flagler County,131439.0,79963.0,both
Florida,FL,Franklin County,12594.0,6758.0,both
Florida,FL,Gadsden County,43833.0,21868.0,both
Florida,FL,Gilchrist County,19587.0,10686.0,both
Florida,FL,Glades County,12786.0,5279.0,both
Florida,FL,Gulf County,15693.0,8697.0,both
Florida,FL,Hamilton County,13471.0,5733.0,both
Florida,FL,Hardee County,25760.0,8143.0,both
Florida,FL,Hendry County,43333.0,13460.0,both
Florida,FL,Hernando County,212807.0,110687.0,both
Florida,FL,Highlands County,107614.0,51905.0,both
Florida,FL,Hillsborough County,1535564.0,671981.0,both
Florida,FL,Holmes County,19944.0,9116.0,both
Florida,FL,Indian River County,169795.0,99015.0,both
Florida,FL,Jackson County,48622.0,22098.0,both
Florida,FL,Jefferson County,15450.0,8502.0,both
Florida,FL,Lafayette County,8078.0,3756.0,both
Florida,FL,Lake County,424462.0,226781.0,both
Florida,FL,Lee County,834573.0,392519.0,both
Florida,FL,Leon County,296913.0,156800.0,both
Florida,FL,Levy County,46545.0,24377.0,both
Florida,FL,Liberty County,7706.0,3490.0,both
Florida,FL,Madison County,18519.0,9156.0,both
Florida,FL,Manatee County,441095.0,228856.0,both
Florida,FL,Marion County,409959.0,214101.0,both
Florida,FL,Martin County,163315.0,98291.0,both
Florida,FL,Miami-Dade County,2686867.0,1094093.0,both
Florida,FL,Monroe County,80614.0,44327.0,both
Florida,FL,Nassau County,101501.0,65621.0,both
Florida,FL,Okaloosa County,218464.0,113634.0,both
Florida,FL,Okeechobee County,41427.0,16058.0,both
Florida,FL,Orange County,1471416.0,607191.0,both
Florida,FL,Osceola County,437784.0,172776.0,both
Florida,FL,Palm Beach County,1533801.0,745697.0,both
Florida,FL,Pasco County,632996.0,318463.0,both
Florida,FL,Pinellas County,961596.0,517058.0,both
Florida,FL,Polk County,818330.0,348922.0,both
Florida,FL,Putnam County,75955.0,36272.0,both
Florida,FL,Santa Rosa County,203162.0,112424.0,both
Florida,FL,Sarasota County,469013.0,277857.0,both
Florida,FL,Seminole County,484271.0,253720.0,both
Florida,FL,St. Johns County,320110.0,197452.0,both
Florida,FL,St. Lucie County,373586.0,185131.0,both
Florida,FL,Sumter County,151565.0,105217.0,both
Florida,FL,Suwannee County,46130.0,21891.0,both
Florida,FL,Taylor County,21582.0,9997.0,both
Florida,FL,Union County,15532.0,6231.0,both
Florida,FL,Volusia County,590357.0,310495.0,both
Florida,FL,Wakulla County,36449.0,19856.0,both
Florida,FL,Walton County,86354.0,49601.0,both
Florida,FL,Washington County,25602.0,12584.0,both
Georgia,GA,Appling County,18457.0,8334.0,both
Georgia,GA,Atkinson County,8293.0,3057.0,both
Georgia,GA,Bacon County,11124.0,4839.0,both
Georgia,GA,Baker County,2743.0,1476.0,both
Georgia,GA,Baldwin County,43396.0,18825.0,both
Georgia,GA,Banks County,19789.0,10519.0,both
Georgia,GA,Barrow County,92792.0,43934.0,both
Georgia,GA,Bartow County,115041.0,57547.0,both
Georgia,GA,Ben Hill County,17128.0,6501.0,both
Georgia,GA,Berrien County,18570.0,8068.0,both
Georgia,GA,Bibb County,156512.0,69181.0,both
Georgia,GA,Bleckley County,12465.0,6044.0,both
Georgia,GA,Brantley County,18401.0,8500.0,both
Georgia,GA,Brooks County,16245.0,7210.0,both
Georgia,GA,Bryan County,49739.0,24651.0,both
Georgia,GA,Bulloch County,84327.0,32657.0,both
Georgia,GA,Burke County,24438.0,11070.0,both
Georgia,GA,Butts County,26887.0,13019.0,both
Georgia,GA,Calhoun County,5457.0,2056.0,both
Georgia,GA,Camden County,58118.0,26393.0,both
Georgia,GA,Candler County,11059.0,4568.0,both
Georgia,GA,Carroll County,127098.0,60494.0,both
Georgia,GA,Catoosa County,68910.0,35038.0,both
Georgia,GA,Charlton County,12934.0,4628.0,both
Georgia,GA,Chatham County,303655.0,141109.0,both
Georgia,GA,Chattahoochee County,8661.0,1694.0,both
