state_code,county_name,population,total_votes,turnout
FL,Manatee County,441095.0,228856.0,0.5188360783958105
FL,Marion County,409959.0,214101.0,0.5222497859542051
FL,Martin County,163315.0,98291.0,0.6018491871536601
FL,Miami-Dade County,2686867.0,1094093.0,0.4072002819640868
FL,Monroe County,80614.0,44327.0,0.5498672687126306
FL,Nassau County,101501.0,65621.0,0.646505945754229
FL,Okaloosa County,218464.0,113634.0,0.5201497729603046
FL,Okeechobee County,41427.0,16058.0,0.38762159943997876
FL,Orange County,1471416.0,607191.0,0.4126576032882611
FL,Osceola County,437784.0,172776.0,0.3946603804615975
FL,Palm Beach County,1533801.0,745697.0,0.48617584680150816
FL,Pasco County,632996.0,318463.0,0.5031042850191786
FL,Pinellas County,961596.0,517058.0,0.5377081435446903
FL,Polk County,818330.0,348922.0,0.4263829995234196
FL,Putnam County,75955.0,36272.0,0.47754591534461194
FL,Santa Rosa County,203162.0,112424.0,0.5533712013073311
FL,Sarasota County,469013.0,277857.0,0.592429207719189
FL,Seminole County,484271.0,253720.0,0.5239215232793208
FL,St. Johns County,320110.0,197452.0,0.6168254662459779
FL,St. Lucie County,373586.0,185131.0,0.49555122515297684
FL,Sumter County,151565.0,105217.0,0.6942038069475143
FL,Suwannee County,46130.0,21891.0,0.4745501842618686
FL,Taylor County,21582.0,9997.0,0.46321008247613754
FL,Union County,15532.0,6231.0,0.40117177440123614
FL,Volusia County,590357.0,310495.0,0.5259444708879543
FL,Wakulla County,36449.0,19856.0,0.5447611731460397
FL,Walton County,86354.0,49601.0,0.57439145841536
FL,Washington County,25602.0,12584.0,0.4915240996797125
GA,Appling County,18457.0,8334.0,0.4515360026006393
GA,Atkinson County,8293.0,3057.0,0.3686241408416737
GA,Bacon County,11124.0,4839.0,0.4350053937432578
GA,Baker County,2743.0,1476.0,0.5380969741159315
GA,Baldwin County,43396.0,18825.0,0.4337957415429994
GA,Banks County,19789.0,10519.0,0.5315579362271969
GA,Barrow County,92792.0,43934.0,0.4734675403051987
GA,Bartow County,115041.0,57547.0,0.5002303526568789
GA,Ben Hill County,17128.0,6501.0,0.37955394675385334
GA,Berrien County,18570.0,8068.0,0.43446418955304256
GA,Bibb County,156512.0,69181.0,0.44201722551625433
GA,Bleckley County,12465.0,6044.0,0.48487765744083433
GA,Brantley County,18401.0,8500.0,0.46193141677082766
GA,Brooks County,16245.0,7210.0,0.4438288704216682
GA,Bryan County,49739.0,24651.0,0.4956070688996562
GA,Bulloch County,84327.0,32657.0,0.3872662373854163
GA,Burke County,24438.0,11070.0,0.45298305917014486
GA,Butts County,26887.0,13019.0,0.4842117008219586
GA,Calhoun County,5457.0,2056.0,0.3767637896280007
GA,Camden County,58118.0,26393.0,0.45412780894043153
GA,Candler County,11059.0,4568.0,0.41305723844832265
GA,Carroll County,127098.0,60494.0,0.4759634297943319
GA,Catoosa County,68910.0,35038.0,0.5084603105499927
GA,Charlton County,12934.0,4628.0,0.35781660739137156
GA,Chatham County,303655.0,141109.0,0.4647017174095602
GA,Chattahoochee County,8661.0,1694.0,0.19558942385405842
GA,Chattooga County,25222.0,10706.0,0.4244707001823805
GA,Cherokee County,286602.0,162281.0,0.5662242412823357
GA,Clarke County,129933.0,52887.0,0.4070328553947034
GA,Clay County,2853.0,1442.0,0.5054328776726253
GA,Clayton County,298300.0,111729.0,0.3745524639624539
GA,Clinch County,6746.0,2908.0,0.43107026386006525
GA,Cobb County,776743.0,401369.0,0.5167333339341327
GA,Coffee County,43317.0,15715.0,0.36279059029942057
GA,Colquitt County,46167.0,16611.0,0.3598024562999545
GA,Columbia County,165162.0,85920.0,0.5202165146946635
GA,Cook County,17714.0,7357.0,0.41532121485830414
GA,Coweta County,155892.0,85916.0,0.5511251379159932
GA,Crawford County,12277.0,6340.0,0.51641280443105
GA,Crisp County,19631.0,8116.0,0.4134277418368906
GA,Dade County,16165.0,8200.0,0.5072687905969687
GA,Dawson County,31732.0,19561.0,0.6164439682339594
GA,DeKalb County,762992.0,366008.0,0.47970096672048984
GA,Decatur County,29087.0,11549.0,0.3970502286244714
GA,Dodge County,19776.0,8350.0,0.4222289644012945
GA,Dooly County,10981.0,4177.0,0.38038430015481284
GA,Dougherty County,82645.0,33850.0,0.40958315687579405
GA,Douglas County,149160.0,70721.0,0.4741284526682757
GA,Early County,10563.0,4879.0,0.461895294897283
GA,Echols County,3709.0,1438.0,0.38770558101914265
GA,Effingham County,71541.0,36244.0,0.5066185823513789
GA,Elbert County,20013.0,9589.0,0.4791385599360416
GA,Emanuel County,23119.0,9619.0,0.41606470868117135
