state_name,state_code,county_name,college_educated
Colorado,CO,Crowley County,554
Colorado,CO,Custer County,1422
Colorado,CO,Delta County,6080
Colorado,CO,Denver County,306473
Colorado,CO,Dolores County,493
Colorado,CO,Douglas County,158422
Colorado,CO,Eagle County,20412
Colorado,CO,Elbert County,7094
Colorado,CO,El Paso County,208381
Colorado,CO,Fremont County,8184
Colorado,CO,Garfield County,14334
Colorado,CO,Gilpin County,2324
Colorado,CO,Grand County,5278
Colorado,CO,Gunnison County,7294
Colorado,CO,Hinsdale County,379
Colorado,CO,Huerfano County,1443
Colorado,CO,Jackson County,319
Colorado,CO,Jefferson County,224143
Colorado,CO,Kiowa County,200
Colorado,CO,Kit Carson County,903
Colorado,CO,Lake County,2583
Colorado,CO,La Plata County,19933
Colorado,CO,Larimer County,134668
Colorado,CO,Las Animas County,1867
Colorado,CO,Lincoln County,1099
Colorado,CO,Logan County,2967
Colorado,CO,Mesa County,35096
Colorado,CO,Mineral County,373
Colorado,CO,Moffat County,1903
Colorado,CO,Montezuma County,5984
Colorado,CO,Montrose County,9072
Colorado,CO,Morgan County,3482
Colorado,CO,Otero County,2580
Colorado,CO,Ouray County,2315
Colorado,CO,Park County,5755
Colorado,CO,Phillips County,791
Colorado,CO,Pitkin County,8859
Colorado,CO,Prowers County,1485
Colorado,CO,Pueblo County,30221
Colorado,CO,Rio Blanco County,1200
Colorado,CO,Rio Grande County,2597
Colorado,CO,Routt County,10099
Colorado,CO,Saguache County,1555
Colorado,CO,San Juan County,288
Colorado,CO,San Miguel County,4213
Colorado,CO,Sedgwick County,469
Colorado,CO,Summit County,12751
Colorado,CO,Teller County,7515
Colorado,CO,Washington County,873
Colorado,CO,Weld County,73994
Colorado,CO,Yuma County,1823
Connecticut,CT,Capitol Planning Region,299133
Connecticut,CT,Greater Bridgeport Planning Region,97347
Connecticut,CT,Lower Connecticut River Valley Planning Region,61944
Connecticut,CT,Naugatuck Valley Planning Region,116149
Connecticut,CT,Northeastern Connecticut Planning Region,19359
Connecticut,CT,Northwest Hills Planning Region,34414
Connecticut,CT,South Central Connecticut Planning Region,172720
Connecticut,CT,Southeastern Connecticut Planning Region,72236
Connecticut,CT,Western Connecticut Planning Region,251991
Delaware,DE,Kent County,34818
Delaware,DE,New Castle County,162701
Delaware,DE,Sussex County,62189
District of Columbia,DC,District of Columbia,326095
Florida,FL,Alachua County,92574
Florida,FL,Baker County,3098
Florida,FL,Bay County,37539
Florida,FL,Bradford County,3202
Florida,FL,Brevard County,160671
Florida,FL,Broward County,517023
Florida,FL,Calhoun County,1345
Florida,FL,Charlotte County,41638
Florida,FL,Citrus County,26292
Florida,FL,Clay County,45787
Florida,FL,Collier County,121144
Florida,FL,Columbia County,8166
Florida,FL,DeSoto County,2993
Florida,FL,Dixie County,1059
Florida,FL,Duval County,237893
Florida,FL,Escambia County,68361
Florida,FL,Flagler County,29304
Florida,FL,Franklin County,2528
Florida,FL,Gadsden County,6363
Florida,FL,Gilchrist County,1919
Florida,FL,Glades County,1315
Florida,FL,Gulf County,2866
Florida,FL,Hamilton County,1099
Florida,FL,Hardee County,2184
Florida,FL,Hendry County,3139
Florida,FL,Hernando County,31673
Florida,FL,Highlands County,16218
Florida,FL,Hillsborough County,400057
Florida,FL,Holmes County,1721
Florida,FL,Indian River County,44403
Florida,FL,Jackson County,5281
Florida,FL,Jefferson County,2150
Florida,FL,Lafayette County,584
Florida,FL,Lake County,81709
Florida,FL,Lee County,188809
Florida,FL,Leon County,95431
Florida,FL,Levy County,5379
Florida,FL,Liberty County,921
Florida,FL,Madison County,1705
Florida,FL,Manatee County,111761
Florida,FL,Marion County,65949
Florida,FL,Martin County,46660
Florida,FL,Miami-Dade County,665026
Florida,FL,Monroe County,24878
Florida,FL,Nassau County,25337
Florida,FL,Okaloosa County,52773
